season,log_loss,accuracy,n_games
2003,0.5798,0.688,64
2004,0.5537,0.656,64
2005,0.5314,0.734,64
2006,0.589,0.711,64
2007,0.486,0.75,64
2008,0.4803,0.789,64
2009,0.5061,0.742,64
2010,0.5714,0.711,64
2011,0.656,0.634,67
2012,0.5554,0.694,67
2013,0.5911,0.679,67
2014,0.5883,0.679,67
2015,0.4914,0.761,67
2016,0.5824,0.709,67
2017,0.5458,0.687,67
2018,0.5927,0.709,67
2019,0.512,0.784,67
2021,0.5995,0.682,66
2022,0.6518,0.634,67
2023,0.6302,0.679,67
2024,0.5893,0.672,67
2025,0.4716,0.791,67
