season,w_v4
2003,0.8300000000000001
2004,0.81
2005,0.78
2006,0.79
2007,0.77
2008,0.76
2009,0.81
2010,0.78
2011,0.8300000000000001
2012,0.78
2013,0.8200000000000001
2014,0.81
2015,0.8
2016,0.8
2017,0.8300000000000001
2018,0.8
2019,0.79
2021,0.79
2022,0.84
2023,0.8
2024,0.8
2025,0.8
